count,noun_word,noun_pos,adj1_word,adj2_word,adj1_pos,adj2_pos
1,abbreviation,NN,common,military,JJ,JJ
1,abbreviations,NNS,Certain,medical,JJ,JJ
1,abdomen,NN,metallic,blue,JJ,JJ
1,abdomen,NN,right,upper,JJ,JJ
1,abdomen,NN,upper,right,JJ,JJ
1,aberration,NN,lateral,chromatic,JJ,JJ
1,aberration,NN,severe,spherical,JJ,JJ
1,abilities,NNS,basic,physical,JJ,JJ
1,abilities,NNS,certain,human,JJ,JJ
1,abilities,NNS,creative,martial,JJ,JJ
1,abilities,NNS,exceptional,scholastic,JJ,JJ
1,abilities,NNS,fantastic,superhuman,JJ,JJ
1,abilities,NNS,great,athletic,JJ,JJ
1,abilities,NNS,great,illusory,JJ,JJ
1,abilities,NNS,great,poetic,JJ,JJ
1,abilities,NNS,inherent,magical,JJ,JJ
1,abilities,NNS,potent,restorative,JJ,JJ
1,abilities,NNS,supernatural,prophetic,JJ,JJ
1,abilities,NNS,unquestioned,dramatic,JJ,JJ
1,ability,NN,average,academic,JJ,JJ
1,ability,NN,average,mathematical,JJ,JJ
1,ability,NN,extreme,competitive,JJ,JJ
1,ability,NN,genuine,dramatic,JJ,JJ
1,ability,NN,great,intellectual,JJ,JJ
2,ability,NN,high,musical,JJ,JJ
1,ability,NN,horizontal,parasitic,JJ,JJ
1,ability,NN,limited,graphic,JJ,JJ
1,ability,NN,modern,diagnostic,JJ,JJ
1,ability,NN,outstanding,academic,JJ,JJ
1,ability,NN,rare,magical,JJ,JJ
1,ability,NN,regular,natural,JJ,JJ
1,ability,NN,single,general,JJ,JJ
1,ability,NN,technical,musical,JJ,JJ
1,ability,NN,unique,special,JJ,JJ
1,abnormalities,NNS,certain,metabolic,JJ,JJ
1,abolitionist,NN,Black,British,JJ,JJ
1,abortion,NN,traumatic,illegal,JJ,JJ
1,abortions,NNS,safe,legal,JJ,JJ
1,abscesses,NNS,acute,dental,JJ,JJ
1,abstraction,NN,simple,memorable,JJ,JJ
1,abundance,NN,low,natural,JJ,JJ
1,abundance,NN,normal,elemental,JJ,JJ
1,abuse,NN,clerical,sexual,JJ,JJ
1,abuse,NN,historical,sexual,JJ,JJ
1,abuses,NNS,American,military,JJ,JJ
1,abuses,NNS,past,environmental,JJ,JJ
1,academic,NN,prominent,Australian,JJ,JJ
1,academics,NNS,young,Vietnamese,JJ,JJ
1,academies,NNS,foreign,scientific,JJ,JJ
1,academies,NNS,numerous,medical,JJ,JJ
1,academies,NNS,numerous,private,JJ,JJ
1,academies,NNS,Pakistani,military,JJ,JJ
1,academy,NN,important,military,JJ,JJ
1,academy,NN,Indian,naval,JJ,JJ
1,academy,NN,International,islamic,JJ,JJ
1,academy,NN,new,military,JJ,JJ
1,academy,NN,private,Christian,JJ,JJ
1,academy,NN,public,tertiary,JJ,JJ
1,academy,NN,scientific,national,JJ,JJ
2,acceleration,NN,constant,proper,JJ,JJ
1,acceleration,NN,local,gravitational,JJ,JJ
2,acceleration,NN,standard,gravitational,JJ,JJ
1,accelerators,NNS,additional,small,JJ,JJ
1,accent,NN,convincing,American,JJ,JJ
1,accent,NN,distinctive,Polish,JJ,JJ
1,accent,NN,distinct,Polish,JJ,JJ
1,accent,NN,English,vocal,JJ,JJ
1,accent,NN,fake,American,JJ,JJ
1,accent,NN,fake,Slavic,JJ,JJ
1,accent,NN,heavy,foreign,JJ,JJ
1,accent,NN,heavy,Polish,JJ,JJ
1,accent,NN,modern,Israeli,JJ,JJ
1,accent,NN,natural,Scottish,JJ,JJ
1,accent,NN,noticeable,Bahamian,JJ,JJ
1,accent,NN,ridiculous,English,JJ,JJ
1,accent,NN,southern,rural,JJ,JJ
1,accent,NN,strong,Southern,JJ,JJ
1,accent,NN,thick,fake,JJ,JJ
1,accents,NNS,English,Gothic,JJ,JJ
1,accents,NNS,exaggerated,British,JJ,JJ
1,accents,NNS,Indian,English,JJ,JJ
1,accents,NNS,regional,British,JJ,JJ
1,accents,NNS,separate,regional,JJ,JJ
1,acceptance,NN,slavish,unquestioning,JJ,JJ
1,access,NN,compliant,pedestrian,JJ,JJ
1,access,NN,convenient,direct,JJ,JJ
1,access,NN,direct,introspective,JJ,JJ
1,access,NN,direct,pedestrian,JJ,JJ
1,access,NN,direct,Roman,JJ,JJ
1,access,NN,free,public,JJ,JJ
1,access,NN,general,public,JJ,JJ
1,access,NN,green,open,JJ,JJ
1,access,NN,modern,educational,JJ,JJ
2,access,NN,only,direct,JJ,JJ
1,accessories,NNS,translucent,green,JJ,JJ
1,accident,NN,last,major,JJ,JJ
1,accident,NN,major,naval,JJ,JJ
1,accident,NN,major,nuclear,JJ,JJ
1,accident,NN,recent,severe,JJ,JJ
1,accident,NN,worst,industrial,JJS,JJ
1,accidents,NNS,multiple,fatal,JJ,JJ
1,accidents,NNS,previous,fatal,JJ,JJ
1,accidents,NNS,small,industrial,JJ,JJ
1,acclaim,NN,considerable,critical,JJ,JJ
1,acclaim,NN,further,critical,JJ,JJ
1,acclaim,NN,further,national,JJ,JJ
1,acclaim,NN,great,critical,JJ,JJ
1,acclaim,NN,greatest,critical,JJS,JJ
4,acclaim,NN,high,critical,JJ,JJ
1,acclaim,NN,overall,high,JJ,JJ
2,acclaim,NN,overwhelming,critical,JJ,JJ
1,acclaim,NN,regular,critical,JJ,JJ
3,acclaim,NN,significant,critical,JJ,JJ
1,acclaim,NN,strong,critical,JJ,JJ
1,acclaim,NN,unanimous,critical,JJ,JJ
2,acclaim,NN,universal,critical,JJ,JJ
3,acclaim,NN,wide,critical,JJ,JJ
22,acclaim,NN,widespread,critical,JJ,JJ
1,accolade,NN,highest,official,JJS,JJ
1,accommodation,NN,adequate,alternative,JJ,JJ
1,accommodation,NN,nearby,private,JJ,JJ
1,accommodation,NN,surplus,military,JJ,JJ
1,accommodations,NNS,minimal,overnight,JJ,JJ
1,accompaniment,NN,additional,orchestral,JJ,JJ
1,accompaniment,NN,Independent,instrumental,JJ,JJ
1,accomplishment,NN,biggest,diplomatic,JJS,JJ
1,accomplishment,NN,high,technical,JJ,JJ
1,accomplishment,NN,major,congressional,JJ,JJ
1,accomplishments,NNS,further,military,JJ,JJ
1,accord,NN,active,military,JJ,JJ
1,account,NN,bleak,stark,JJ,JJ
1,account,NN,definitive,inside,JJ,JJ
1,account,NN,detailed,historical,JJ,JJ
1,account,NN,detailed,negative,JJ,JJ
1,account,NN,earliest,primary,JJS,JJ
1,account,NN,later,historical,JJR,JJ
1,account,NN,lengthy,autobiographical,JJ,JJ
1,account,NN,Old,English,JJ,JJ
1,account,NN,only,trustworthy,JJ,JJ
1,account,NN,sole,inside,JJ,JJ
1,accounts,NNS,corporate,current,JJ,JJ
1,accounts,NNS,detailed,financial,JJ,JJ
1,accounts,NNS,detailed,narrative,JJ,JJ
1,accounts,NNS,Early,European,JJ,JJ
1,accounts,NNS,early,Spanish,JJ,JJ
1,accounts,NNS,English,historical,JJ,JJ
1,accounts,NNS,firsthand,Latin,JJ,JJ
1,accounts,NNS,late,Classical,JJ,JJ
1,accounts,NNS,lurid,literary,JJ,JJ
1,accounts,NNS,older,historical,JJR,JJ
1,accounts,NNS,Old,French,JJ,JJ
1,accounts,NNS,various,contemporary,JJ,JJ
1,accretion,NN,similar,continental,JJ,JJ
1,accumulation,NN,minimal,systemic,JJ,JJ
1,accuracy,NN,lower,ultimate,JJR,JJ
1,accuracy,NN,maximum,technical,JJ,JJ
1,accuracy,NN,positive,predictive,JJ,JJ
1,ace,NN,only,famous,JJ,JJ
1,ace,NN,top,Irish,JJ,JJ
1,achievement,NN,biggest,structural,JJS,JJ
1,achievement,NN,Danish,scientific,JJ,JJ
1,achievement,NN,distinguished,artistic,JJ,JJ
1,achievement,NN,distinguished,intellectual,JJ,JJ
1,achievement,NN,full,heraldic,JJ,JJ
1,achievement,NN,greatest,legislative,JJS,JJ
1,achievement,NN,greatest,scientific,JJS,JJ
1,achievement,NN,great,technical,JJ,JJ
1,achievement,NN,important,architectural,JJ,JJ
1,achievement,NN,important,artistic,JJ,JJ
1,achievement,NN,lower,educational,JJR,JJ
1,achievement,NN,only,real,JJ,JJ
1,achievement,NN,outstanding,technical,JJ,JJ
1,achievement,NN,superior,scholastic,JJ,JJ
1,achievement,NN,supreme,humanitarian,JJ,JJ
1,achievement,NN,ultimate,social,JJ,JJ
1,achievements,NNS,greatest,academic,JJS,JJ
1,achievements,NNS,highest,academic,JJS,JJ
1,achievements,NNS,historical,scientific,JJ,JJ
