count,noun_word,noun_pos,adj1_word,adj2_word,adj1_pos,adj2_pos
1,абажура,NN,разноцветный,стеклянный,JJ,JJ
1,аббат,NN,местный,католический,JJ,JJ
1,аббатство,NN,бывший,бенедиктинский,JJ,JJ
1,аббатство,NN,единственный,цистерцианский,JJ,JJ
1,аббатство,NN,известный,бенедиктинский,JJ,JJ
1,аббатство,NN,крупный,цистерцианский,JJ,JJ
1,аббатство,NN,местный,бенедиктинский,JJ,JJ
1,аббатство,NN,пригородный,залемский,JJ,JJ
1,аббревиатура,NN,русский,буквенный,JJ,JJ
1,абонент,NN,недовольный,бывший,JJ,JJ
1,абориген,NN,гипотетический,доубейдский,JJ,JJ
1,абстракция,NN,примитивный,чувственный,JJ,JJ
1,авангард,NN,европейский,архитектурный,JJ,JJ
1,авангард,NN,русский,архитектурный,JJ,JJ
1,авангард,NN,русский,кавалерийский,JJ,JJ
1,авангард,NN,союзный,египетский,JJ,JJ
1,аванзал,NN,небольшой,купольный,JJ,JJ
1,аванпост,NN,первый,португальский,JJ,JJ
1,авантюрист,NN,сам,известный,JJ,JJ
1,авария,NN,возможный,катастрофический,JJ,JJ
1,авария,NN,жостовский,радиационный,JJ,JJ
1,авария,NN,крупный,техногенный,JJ,JJ
1,авария,NN,многочисленный,громкий,JJ,JJ
1,авиабаза,NN,бывший,американский,JJ,JJ
1,авиабаза,NN,различный,военный,JJ,JJ
1,авиабаза,NN,российский,военный,JJ,JJ
1,авиабаза,NN,советский,военный,JJ,JJ
1,авиаконструктор,NN,выдающийся,советский,JJ,JJ
1,авиаконструктор,NN,известный,советский,JJ,JJ
3,авиалиния,NN,китайский,восточный,JJ,JJ
1,авианосец,NN,атомный,многоцелевой,JJ,JJ
1,авианосец,NN,крупный,летучий,JJ,JJ
1,авиаотряд,NN,енисейский,объединённый,JJ,JJ
1,авиаотряд,NN,латвийский,объединенный,JJ,JJ
1,авиаотряд,NN,минский,объединённый,JJ,JJ
1,авиаотряд,NN,саратовский,объединённый,JJ,JJ
1,авиаотряд,NN,толмачевский,объединенный,JJ,JJ
1,авиаперевозчик,NN,крупный,национальный,JJ,JJ
1,авиаперевозчик,NN,крупный,федеральный,JJ,JJ
1,авиаполк,NN,отдельный,разведывательный,JJ,JJ
1,авиасоединение,NN,немецкий,истребительный,JJ,JJ
1,авиасообщение,NN,надежный,прямой,JJ,JJ
1,авиатор,NN,знаменитый,русский,JJ,JJ
1,авиация,NN,американский,стратегический,JJ,JJ
2,авиация,NN,английский,бомбардировочный,JJ,JJ
1,авиация,NN,беспилотный,военный,JJ,JJ
1,авиация,NN,военный,сверхзвуковой,JJ,JJ
1,авиация,NN,дальний,бомбардировочный,JJ,JJ
1,авиация,NN,малый,гражданский,JJ,JJ
1,авиация,NN,немецкий,транспортный,JJ,JJ
1,авиация,NN,ночной,истребительный,JJ,JJ
2,авиация,NN,отечественный,гражданский,JJ,JJ
1,авиация,NN,приморский,профессиональный,JJ,JJ
1,авиация,NN,российский,военный,JJ,JJ
1,авиация,NN,сверхзвуковой,гражданский,JJ,JJ
1,авиация,NN,сверхзвуковой,противоавианосный,JJ,JJ
1,авиация,NN,советский,разведывательный,JJ,JJ
1,авиация,NN,ударный,армейский,JJ,JJ
1,авиация,NN,финский,разведывательный,JJ,JJ
1,австралопитек,NN,первый,взрослый,JJ,JJ
1,авто,NN,быстрый,спортивный,JJ,JJ
1,автобус,NN,большой,пассажирский,JJ,JJ
1,автобус,NN,вместительный,городской,JJ,JJ
1,автобус,NN,городской,рельсовый,JJ,JJ
1,автобус,NN,громоздкий,рейсовый,JJ,JJ
1,автобус,NN,двухэтажный,лондонский,JJ,JJ
1,автобус,NN,красный,двухэтажный,JJ,JJ
1,автобус,NN,льготный,маршрутный,JJ,JJ
1,автобус,NN,междугородний,транзитный,JJ,JJ
1,автобус,NN,первый,электрический,JJ,JJ
1,автобус,NN,рейсовой,городской,JJ,JJ
1,автобус,NN,роскошный,туристский,JJ,JJ
1,автобус,NN,современный,пассажирский,JJ,JJ
1,автобус,NN,специальный,спальный,JJ,JJ
1,автобус,NN,специальный,туристический,JJ,JJ
1,автовокзал,NN,небольшой,одноэтажный,JJ,JJ
1,автодорога,NN,екатеринбургский,кольцевой,JJ,JJ
1,автодорога,NN,ижевский,кольцевой,JJ,JJ
1,автодорога,NN,иной,частный,JJ,JJ
1,автодорога,NN,лондонский,кольцевой,JJ,JJ
1,автодорога,NN,малозначимый,магистральный,JJ,JJ
